config,n_features,macro_f1,alpha_opt,max_condition_number,spearman_rank,top25_overlap
all_features,43,0.8848647005168744,0.35,1741225.1851200252,-0.329826367278013,0.0
truth_table_only,8,0.48248757971365464,0.35,303343.2906167648,-0.36993140453583245,0.0
avalanche_hamming_only,14,0.7145976432827386,0.15,548616.4848909528,-0.5713744734372926,0.0
algebraic_only,5,0.6838483835005574,0.0,434790.38773461105,0.8623457146836052,0.08
structural_cycles_only,5,0.44405425721690545,0.65,677716.7828317644,-0.5599760993847446,0.0
complexity_removed,40,0.6753246753246753,0.3,1495404.5940977011,-0.33912398585538855,0.0
truth_table_removed,35,0.9628466483011937,0.95,9778061752.803385,-0.30301662983351263,0.0
avalanche_removed,29,0.9134213533358224,0.35,1212996.3709153486,-0.24671081428792976,0.0
minimal_cryptographic_metrics,5,0.8503117297375671,0.4,393266.56877595466,-0.2739652818384886,0.0
