label_noise,feature_noise,mean_macro_f1,std_macro_f1
0.0,gaussian,0.9501865864157797,0.02375556775785479
0.0,heavy_tailed,0.9375524311682575,0.01641271504616485
0.0,none,0.9987564998098696,0.003567897583312718
0.05,gaussian,0.8806708185014379,0.02616439237803218
0.05,heavy_tailed,0.8362312534971202,0.03273193168265948
0.05,none,0.925309308212338,0.018918783461103032
0.1,gaussian,0.8173981857459707,0.024775000798146898
0.1,heavy_tailed,0.773892072353156,0.04246938387261972
0.1,none,0.8459807118885599,0.030846533915752372
0.2,gaussian,0.6837425228940828,0.025850588110700887
0.2,heavy_tailed,0.649175592696136,0.05999144793076346
0.2,none,0.7276598901630428,0.0338195824984202
